run_id,label,severity,passed,total,failed,critical_count,pass_rate_pct
09f91819,"09f91819
llama3.2",high,0,11,11,11,0.0
2908328f,"2908328f
llama3.2",high,10,11,1,1,90.9
36b939d4,"36b939d4
gemma3",high,16,26,10,10,61.5
431e3741,"431e3741
llama3.2",high,1,11,10,10,9.1
4c9207c3,"4c9207c3
gemma3",high,0,10,10,10,0.0
7fe69097,"7fe69097
gemma3",medium,0,3,3,0,0.0
7fe69097,"7fe69097
gemma3",high,0,9,9,9,0.0
7fe69097,"7fe69097
gemma3",low,0,1,1,0,0.0
9740a2be,"9740a2be
llama3.2",high,2,11,9,9,18.2
9a3a41b1,"9a3a41b1
llama3.2",high,2,11,9,9,18.2
aa647543,"aa647543
llama3-chatqa",medium,0,27,27,0,0.0
aa647543,"aa647543
llama3-chatqa",high,0,1,1,1,0.0
f32264dd,"f32264dd
gemma3",high,0,26,26,26,0.0
